tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,240,0,0,9.6819,9.7835,0,616,17.321
1,240,0,0,9.7639,9.8035,0,620,15.884
2,240,0,0,9.8459,9.8235,0,620,16.641
3,240,0,0,9.9279,9.8435,0,624,16.256
4,240,0,0,10.0099,9.8635,0,626,16.442
5,240,0,0,10.0919,9.8835,0,622,20.221
6,240,0,0,10.1736,9.9035,0,616,24.893
7,240,0,0,10.2545,9.9235,0,614,17.586
8,240,0,0,10.3344,9.9435,0,612,15.878
9,240,0,0,10.4134,9.9635,0,610,16.194
10,240,0,0,10.4911,9.9835,0,614,16.926
11,240,0,0,10.5662,10.0035,0,608,23.349
12,240,0,0,10.6470,10.0235,0,598,20.890
13,240,0,0,10.7200,10.0435,0,598,19.877
14,240,0,0,10.7909,10.0635,0,598,27.355
15,240,0,0,10.8614,10.0835,0,594,20.275
16,240,0,0,10.9308,10.1035,0,598,16.966
17,240,0,0,10.9989,10.1235,0,586,27.768
18,240,0,0,11.0783,10.1435,0,584,17.673
19,240,0,0,11.1449,10.1635,0,582,16.708
20,240,0,0,11.2097,10.1835,0,584,16.911
21,240,0,0,11.2726,10.2035,0,588,18.635
22,240,0,0,11.3341,10.2235,0,590,16.977
23,240,0,0,11.3940,10.2435,0,588,19.593
24,240,0,0,11.4713,10.2635,0,584,25.002
25,240,0,0,11.5286,10.2835,0,582,18.003
26,240,0,0,11.5838,10.3035,0,578,29.555
27,240,0,0,11.6369,10.3235,0,582,18.660
28,240,0,0,11.6873,10.3435,0,576,16.115
29,240,0,0,11.7353,10.3635,0,570,21.889
30,240,1,1,11.7836,10.2998,0,571,15.923
31,240,0,0,11.8286,10.3198,0,566,16.161
32,240,0,0,11.8712,10.3398,0,562,16.051
33,240,0,0,11.9133,10.3598,0,554,16.976
34,240,0,0,11.9533,10.3798,0,562,21.956
35,240,1,1,11.9661,10.3163,0,560,38.760
36,240,0,0,12.0378,10.3363,0,560,19.361
37,240,1,1,12.0489,10.2699,0,552,18.437
38,240,0,0,12.0852,10.2899,0,562,20.600
39,240,0,0,12.1177,10.3099,0,566,25.873
40,240,0,0,12.1487,10.3299,0,560,27.221
41,240,0,0,12.1796,10.3499,0,556,30.226
42,240,0,0,12.2492,10.3699,0,548,17.624
43,239,0,1,12.2744,10.4255,0,546,16.973
44,239,0,0,12.3025,10.4455,0,514,18.517
45,239,0,0,12.3293,10.4655,0,516,24.144
46,239,0,0,12.3558,10.4855,0,518,17.271
47,239,0,0,12.3793,10.5055,0,522,20.372
48,239,0,0,12.4461,10.5255,0,516,17.386
49,239,0,0,12.4682,10.5455,0,512,16.399
50,239,0,0,12.4904,10.5655,0,510,18.589
51,239,0,0,12.5110,10.5855,0,504,16.921
52,239,0,0,12.5294,10.6055,0,500,17.061
53,239,0,0,12.5466,10.6255,0,490,19.527
54,239,3,3,12.5352,10.3935,0,484,24.173
55,239,0,0,12.5552,10.4135,0,486,25.081
56,239,0,0,12.5734,10.4335,0,486,31.663
57,239,1,1,12.5622,10.3694,0,482,28.687
58,239,0,0,12.5793,10.3894,0,476,29.017
59,239,0,0,12.5958,10.4094,0,480,41.581
60,239,3,3,12.5753,10.1766,0,472,23.529
61,239,0,0,12.5920,10.1966,0,482,27.206
62,239,0,0,12.6093,10.2166,0,478,28.926
63,239,0,0,12.6284,10.2366,0,484,18.672
64,239,0,0,12.6476,10.2566,0,492,27.081
65,239,1,1,12.6383,10.1928,0,497,26.336
66,239,1,1,12.6792,10.1288,0,494,19.867
67,239,0,0,12.6961,10.1488,0,500,20.364
68,239,0,0,12.7123,10.1688,0,504,25.439
69,239,0,0,12.7276,10.1888,0,504,16.490
70,239,0,0,12.7412,10.2088,0,492,16.120
71,239,0,0,12.7556,10.2288,0,490,22.629
72,239,0,0,12.8207,10.2488,0,494,17.858
73,239,0,0,12.8395,10.2688,0,486,24.759
74,239,0,0,12.8583,10.2888,0,478,16.656
75,239,0,0,12.8761,10.3088,0,476,18.173
76,239,0,0,12.8927,10.3288,0,472,18.047
77,239,0,0,12.9093,10.3488,0,454,24.009
78,239,0,0,12.9753,10.3688,0,456,22.877
79,239,0,0,12.9924,10.3888,0,458,23.946
80,239,0,0,13.0081,10.4088,0,452,16.457
81,239,0,0,13.0248,10.4288,0,454,18.903
82,239,1,1,13.0084,10.3646,0,450,17.168
83,239,0,0,13.0225,10.3846,0,458,31.501
84,239,0,0,13.0877,10.4046,0,462,21.553
85,239,0,0,13.1003,10.4246,0,470,17.121
86,239,0,0,13.1115,10.4446,0,472,17.228
87,239,0,0,13.1249,10.4646,0,472,16.048
88,239,0,0,13.1386,10.4846,0,474,16.320
89,239,0,0,13.1515,10.5046,0,476,29.167
90,239,0,0,13.2161,10.5246,0,474,16.386
91,239,0,0,13.2290,10.5446,0,480,15.868
92,239,0,0,13.2426,10.5646,0,490,19.414
93,239,0,0,13.2558,10.5846,0,498,19.076
94,239,0,0,13.2685,10.6046,0,490,17.831
95,239,0,0,13.2819,10.6246,0,488,19.764
96,239,1,1,13.3179,10.5608,0,492,24.184
97,239,1,1,13.3030,10.4969,0,492,16.530
98,239,0,0,13.3173,10.5169,0,482,15.736
99,239,0,0,13.3312,10.5369,0,472,15.944
100,239,0,0,13.3468,10.5569,0,476,19.108
101,239,0,0,13.3633,10.5769,0,472,31.015
102,239,0,0,13.4295,10.5969,0,466,22.466
103,239,2,2,13.3931,10.4398,0,460,15.103
104,239,2,2,13.3592,10.2917,0,451,20.604
105,239,0,0,13.3780,10.3117,0,456,19.470
106,239,0,0,13.3960,10.3317,0,452,14.622
107,239,0,0,13.4137,10.3517,0,452,19.055
108,239,0,0,13.4807,10.3717,0,448,14.948
109,239,0,0,13.5009,10.3917,0,454,18.594
110,239,1,1,13.4932,10.3205,0,458,18.975
111,239,0,0,13.5124,10.3405,0,460,14.962
112,239,0,0,13.5306,10.3605,0,462,19.973
113,239,0,0,13.5478,10.3805,0,460,26.375
114,239,1,1,13.5889,10.3140,0,462,21.327
115,239,0,0,13.6055,10.3340,0,448,19.946
116,239,0,0,13.6216,10.3540,0,454,20.472
117,239,0,0,13.6370,10.3740,0,452,29.776
118,239,0,0,13.6513,10.3940,0,456,23.689
119,239,0,0,13.6643,10.4140,0,458,23.136
120,239,0,0,13.7306,10.4340,0,454,22.551
121,239,1,1,13.7099,10.3702,0,446,26.444
122,239,0,0,13.7227,10.3902,0,450,17.059
123,239,0,0,13.7345,10.4102,0,442,16.902
124,239,1,1,13.7199,10.3460,0,443,18.050
125,239,0,0,13.7309,10.3660,0,444,19.724
126,239,0,0,13.7966,10.3860,0,448,23.456
127,239,0,0,13.8095,10.4060,0,444,15.839
128,239,0,0,13.8220,10.4260,0,428,16.655
129,239,0,0,13.8353,10.4460,0,426,14.073
130,239,0,0,13.8486,10.4660,0,432,15.570
131,239,0,0,13.8595,10.4860,0,428,26.628
132,239,0,0,13.9253,10.5060,0,424,19.705
133,239,1,1,13.9088,10.4418,0,419,15.491
134,239,0,0,13.9182,10.4618,0,424,16.642
135,239,1,1,13.8993,10.3981,0,426,14.062
136,239,0,0,13.9095,10.4181,0,430,16.584
137,239,0,0,13.9201,10.4381,0,440,23.382
138,239,1,1,13.9592,10.3743,0,440,14.870
139,239,0,0,13.9716,10.3943,0,434,20.537
140,239,0,0,13.9853,10.4143,0,444,20.073
141,239,0,0,13.9988,10.4343,0,446,14.096
142,239,0,0,14.0132,10.4543,0,452,15.429
143,239,1,1,14.0018,10.3837,0,442,19.978
144,239,1,1,14.0436,10.3195,0,450,17.118
145,239,1,1,14.0289,10.2556,0,449,15.403
146,239,0,0,14.0401,10.2756,0,438,16.018
147,239,0,0,14.0496,10.2956,0,440,20.600
148,239,0,0,14.0591,10.3156,0,440,20.532
149,239,0,0,14.0680,10.3356,0,450,29.109
150,239,0,0,14.1342,10.3556,5,434,18.112
151,240,1,0,14.0512,10.3323,6,430,15.662
152,240,0,0,14.0603,10.3523,7,438,17.145
153,240,0,0,14.0698,10.3723,10,444,18.244
154,241,1,0,13.9882,10.3492,11,438,18.090
155,242,1,0,13.9069,10.3264,13,446,23.997
156,243,2,1,13.8549,10.2208,13,452,26.081
157,243,0,0,13.8650,10.2408,15,462,25.925
158,243,0,0,13.8739,10.2608,16,456,18.979
159,243,0,0,13.8824,10.2808,17,454,20.755
160,243,0,0,13.8913,10.3008,18,458,27.657
161,243,1,1,13.8756,10.2275,20,462,23.396
162,243,0,0,13.9416,10.2475,20,450,20.257
163,243,0,0,13.9523,10.2675,21,448,32.227
164,243,0,0,13.9627,10.2875,21,440,20.867
165,243,0,0,13.9747,10.3075,21,430,21.330
166,243,0,0,13.9858,10.3275,22,438,18.832
167,243,0,0,13.9970,10.3475,22,432,22.195
168,243,0,0,14.0625,10.3675,23,436,19.024
169,243,0,0,14.0737,10.3875,23,432,18.013
170,244,1,0,13.9941,10.3649,23,426,19.938
171,244,0,0,14.0040,10.3849,23,430,17.458
172,244,0,0,14.0136,10.4049,24,426,17.211
173,244,0,0,14.0231,10.4249,24,420,20.831
174,244,0,0,14.0876,10.4449,25,426,23.201
175,244,0,0,14.0967,10.4649,26,432,17.711
176,244,0,0,14.1050,10.4849,26,436,17.940
177,244,0,0,14.1140,10.5049,26,446,20.633
178,244,0,0,14.1241,10.5249,27,444,19.506
179,245,1,0,14.0458,10.5018,27,442,21.291
180,245,0,0,14.1087,10.5218,28,450,26.635
181,245,0,0,14.1219,10.5418,29,456,24.456
182,245,0,0,14.1365,10.5618,30,460,20.038
183,245,0,0,14.1516,10.5818,30,466,18.720
184,245,1,1,14.1409,10.5189,31,470,22.501
185,245,0,0,14.1557,10.5389,31,474,25.951
186,245,0,0,14.2174,10.5589,31,480,19.104
187,245,1,1,14.2074,10.4898,31,481,19.110
188,245,0,0,14.2226,10.5098,31,478,18.632
189,245,0,0,14.2372,10.5298,31,484,18.886
190,245,1,1,14.2208,10.4682,32,486,19.162
191,245,0,0,14.2333,10.4882,32,486,26.948
192,245,0,0,14.2907,10.5082,32,484,18.987
193,245,0,0,14.3032,10.5282,32,484,20.099
194,245,0,0,14.3147,10.5482,32,488,20.577
195,245,1,1,14.2952,10.4865,33,488,20.124
196,245,0,0,14.3026,10.5065,33,492,19.706
197,246,2,1,14.1892,10.4024,33,493,33.317
198,246,0,0,14.2398,10.4224,33,500,22.531
199,246,0,0,14.2447,10.4424,33,500,22.640
200,246,0,0,14.2503,10.4624,33,492,21.320
201,246,0,0,14.2547,10.4824,33,496,25.716
202,246,0,0,14.2567,10.5024,33,502,22.230
203,247,1,0,14.1647,10.4798,33,504,26.733
204,248,1,0,14.1206,10.4574,33,510,21.419
205,248,0,0,14.1177,10.4774,33,524,23.133
206,248,0,0,14.1143,10.4974,33,522,24.833
207,248,1,1,14.0843,10.4363,33,521,24.670
208,248,0,0,14.0817,10.4563,33,526,25.481
209,248,0,0,14.0785,10.4763,33,534,36.339
210,248,0,0,14.1211,10.4963,33,540,34.125
211,248,0,0,14.1191,10.5163,33,544,23.424
212,248,0,0,14.1154,10.5363,33,548,29.544
213,248,0,0,14.1113,10.5563,33,540,29.046
214,248,0,0,14.1064,10.5763,33,538,27.412
215,249,1,0,14.0130,10.5537,33,540,31.691
216,249,0,0,14.0551,10.5737,33,550,27.581
217,249,0,0,14.0535,10.5937,33,552,29.540
218,249,0,0,14.0517,10.6137,33,550,20.350
219,249,0,0,14.0508,10.6337,33,546,26.491
220,249,0,0,14.0507,10.6537,33,544,20.238
221,249,0,0,14.0515,10.6737,33,542,28.549
222,249,0,0,14.0944,10.6937,33,540,26.612
223,249,0,0,14.0952,10.7137,33,542,22.562
224,249,0,0,14.0949,10.7337,33,544,20.188
225,249,0,0,14.0934,10.7537,33,540,20.550
226,249,0,0,14.0919,10.7737,33,536,20.074
227,249,0,0,14.0892,10.7937,33,534,33.344
228,249,0,0,14.1307,10.8137,33,542,27.314
229,250,1,0,14.0400,10.7904,33,544,21.015
230,250,0,0,14.0377,10.8104,33,554,22.960
231,250,0,0,14.0358,10.8304,33,558,22.166
232,250,0,0,14.0347,10.8504,33,562,27.702
233,250,0,0,14.0339,10.8704,33,568,26.193
234,250,1,1,14.0500,10.8103,34,569,19.667
235,250,0,0,14.0504,10.8303,34,574,25.501
236,250,0,0,14.0500,10.8503,34,574,19.147
237,250,0,0,14.0484,10.8703,34,572,29.601
238,250,0,0,14.0465,10.8903,34,568,19.148
239,250,0,0,14.0446,10.9103,34,560,27.475
240,250,0,0,14.0849,10.9303,34,564,19.389
241,251,1,0,13.9907,10.9067,34,564,19.363
242,251,0,0,13.9845,10.9267,34,580,26.864
243,251,0,0,13.9784,10.9467,34,576,18.999
244,251,0,0,13.9718,10.9667,34,570,23.713
245,251,0,0,13.9648,10.9867,34,568,25.794
246,251,0,0,14.0024,11.0067,34,568,19.896
247,251,1,1,13.9725,10.9447,35,564,21.457
248,251,1,1,13.9414,10.8847,36,560,25.092
249,251,0,0,13.9384,10.9047,36,562,23.332
250,251,0,0,13.9353,10.9247,36,558,20.853
251,251,0,0,13.9317,10.9447,36,554,34.151
252,251,0,0,13.9717,10.9647,36,552,26.660
253,251,1,1,13.9388,10.9049,36,543,22.133
254,252,1,0,13.8510,10.8815,37,546,21.241
255,252,2,2,13.7982,10.7415,37,548,28.566
256,253,1,0,13.7152,10.7190,39,552,26.140
257,253,0,0,13.7190,10.7390,39,564,26.652
258,252,0,1,13.8181,10.7218,39,560,26.672
259,252,0,0,13.8260,10.7418,39,564,24.939
260,253,1,0,13.7471,10.7193,40,574,21.852
261,253,0,0,13.7546,10.7393,40,580,25.356
262,253,0,0,13.7609,10.7593,40,584,21.393
263,253,0,0,13.7653,10.7793,40,586,32.297
264,253,1,1,13.7793,10.7195,40,584,26.068
265,253,0,0,13.7855,10.7395,40,590,26.820
266,253,0,0,13.7904,10.7595,40,584,29.306
267,253,0,0,13.7933,10.7795,40,590,20.597
268,253,0,0,13.7956,10.7995,40,596,29.479
269,253,0,0,13.7985,10.8195,40,598,29.983
270,253,1,1,13.8150,10.7602,40,602,22.533
271,253,0,0,13.8196,10.7802,40,600,21.503
272,253,0,0,13.8241,10.8002,40,594,30.540
273,253,0,0,13.8296,10.8202,40,598,22.235
274,253,0,0,13.8343,10.8402,40,600,22.436
275,253,0,0,13.8389,10.8602,40,602,28.423
276,253,0,0,13.8794,10.8802,40,604,26.266
277,253,0,0,13.8845,10.9002,40,602,23.619
278,253,0,0,13.8894,10.9202,40,602,29.900
279,253,0,0,13.8928,10.9402,40,606,25.313
280,253,0,0,13.8961,10.9602,40,598,38.657
281,253,0,0,13.9002,10.9802,40,600,32.219
282,254,1,0,13.8551,10.9569,40,606,29.022
283,254,0,0,13.8591,10.9769,40,622,21.450
284,254,0,0,13.8630,10.9969,40,620,31.826
285,254,0,0,13.8657,11.0169,40,626,21.723
286,254,0,0,13.8676,11.0369,40,632,23.315
287,254,0,0,13.8699,11.0569,40,634,47.694
288,255,1,0,13.8247,11.0334,40,642,23.639
289,255,0,0,13.8257,11.0534,40,642,22.135
290,256,1,0,13.7405,11.0302,40,652,20.532
291,256,1,1,13.7145,10.9518,41,654,22.190
292,256,0,0,13.7134,10.9718,41,660,20.861
293,256,0,0,13.7135,10.9918,41,668,38.877
294,256,0,0,13.7527,11.0118,41,672,22.273
295,256,0,0,13.7533,11.0318,41,668,20.030
296,256,0,0,13.7545,11.0518,41,668,21.306
297,256,0,0,13.7553,11.0718,41,684,21.915
298,257,1,0,13.6719,11.0487,41,688,21.980
299,258,2,1,13.5576,10.9480,41,694,35.073
300,258,0,0,13.5972,10.9680,41,706,29.226
301,258,0,0,13.5976,10.9880,41,716,20.054
302,258,0,0,13.5985,11.0080,41,712,29.548
303,257,0,1,13.6545,10.9883,41,707,20.214
304,256,0,1,13.7145,10.9713,41,709,23.739
305,257,1,0,13.6385,10.9486,41,696,28.977
306,258,1,0,13.5978,10.9260,41,704,21.860
307,258,0,0,13.6046,10.9460,41,712,24.811
308,258,0,0,13.6115,10.9660,41,710,25.388
309,258,0,0,13.6149,10.9860,41,710,25.933
310,258,0,0,13.6190,11.0060,41,708,24.090
311,257,0,1,13.6760,10.9845,42,700,36.228
312,258,1,0,13.6342,10.9619,42,682,20.875
313,257,0,1,13.6256,10.9638,42,677,23.970
314,257,0,0,13.6350,10.9838,43,676,27.158
315,258,1,0,13.5622,10.9612,43,680,21.331
316,259,1,0,13.4899,10.9388,43,690,22.809
317,259,0,0,13.5003,10.9588,44,696,31.485
318,259,0,0,13.5426,10.9788,44,692,22.848
319,259,0,0,13.5489,10.9988,44,688,37.453
320,259,0,0,13.5561,11.0188,44,694,27.495
321,259,0,0,13.5644,11.0388,44,696,23.960
322,259,0,0,13.5715,11.0588,44,700,23.416
323,259,0,0,13.5801,11.0788,44,706,30.537
324,259,0,0,13.6217,11.0988,44,716,23.212
325,260,1,0,13.5475,11.0760,44,712,22.009
326,260,1,1,13.5300,11.0189,44,711,22.776
327,260,0,0,13.5417,11.0389,44,716,21.353
328,260,0,0,13.5537,11.0589,44,726,23.087
329,260,0,0,13.5652,11.0789,44,724,38.541
330,260,1,1,13.5811,11.0218,44,719,21.696
331,261,1,0,13.5120,10.9995,45,720,32.707
332,261,0,0,13.5270,11.0195,46,730,23.723
333,261,0,0,13.5410,11.0395,46,738,22.885
334,261,1,1,13.5276,10.9828,46,732,28.491
335,260,0,1,13.5883,10.9638,46,728,35.866
336,260,0,0,13.6325,10.9838,46,726,30.094
337,260,0,0,13.6428,11.0038,46,728,20.439
338,259,0,1,13.7063,10.9859,46,733,21.400
339,259,0,0,13.7174,11.0059,46,734,24.216
340,259,0,0,13.7284,11.0259,46,736,22.044
341,259,0,0,13.7380,11.0459,46,742,40.706
342,259,0,0,13.7815,11.0659,46,744,25.284
343,259,0,0,13.7899,11.0859,46,756,21.643
344,259,0,0,13.7992,11.1059,46,764,21.926
345,259,0,0,13.8093,11.1259,46,760,26.133
346,260,1,0,13.7353,11.1030,47,762,24.850
347,260,0,0,13.7456,11.1230,47,760,46.039
348,260,0,0,13.7916,11.1430,47,756,22.214
349,260,0,0,13.8025,11.1630,47,764,23.226
350,260,0,0,13.8109,11.1830,47,768,24.977
351,261,1,0,13.7375,11.1601,47,776,20.331
352,261,0,0,13.7448,11.1801,47,784,27.298
353,261,0,0,13.7521,11.2001,47,788,31.880
354,261,0,0,13.7956,11.2201,48,798,24.065
355,261,0,0,13.8067,11.2401,48,802,22.840
356,261,0,0,13.8192,11.2601,48,796,23.526
357,261,0,0,13.8314,11.2801,48,804,21.280
358,261,0,0,13.8429,11.3001,48,796,20.921
359,261,0,0,13.8535,11.3201,48,796,31.579
360,261,1,1,13.8737,11.2633,48,790,27.999
361,261,0,0,13.8818,11.2833,48,790,20.401
362,260,0,1,13.9426,11.2574,48,786,24.815
363,260,1,1,13.9272,11.1892,49,773,22.082
364,260,0,0,13.9384,11.2092,49,778,20.638
365,260,0,0,13.9497,11.2292,49,782,41.533
366,261,1,0,13.9096,11.2061,49,790,22.025
367,261,0,0,13.9180,11.2261,49,802,23.022
368,264,3,0,13.6746,11.1183,51,810,22.053
369,264,0,0,13.6787,11.1383,51,842,21.526
370,264,0,0,13.6823,11.1583,51,846,32.801
371,264,0,0,13.6861,11.1783,51,848,33.317
372,264,0,0,13.7261,11.1983,51,854,34.145
373,264,0,0,13.7311,11.2183,51,862,28.492
374,264,0,0,13.7357,11.2383,51,866,29.063
375,265,1,0,13.6582,11.2158,51,868,21.503
376,265,0,0,13.6620,11.2358,51,878,20.827
377,265,0,0,13.6661,11.2558,51,884,34.195
378,265,0,0,13.7057,11.2758,51,886,33.745
379,265,0,0,13.7131,11.2958,51,880,23.299
380,265,1,1,13.6909,11.2394,51,863,23.300
381,265,0,0,13.6980,11.2594,51,870,22.077
382,265,0,0,13.7062,11.2794,53,872,28.586
383,265,0,0,13.7138,11.2994,53,862,45.253
384,265,0,0,13.7543,11.3194,53,860,22.791
385,265,0,0,13.7652,11.3394,53,864,31.260
386,265,1,1,13.7537,11.2839,53,862,25.425
387,265,0,0,13.7650,11.3039,53,872,38.342
388,265,0,0,13.7787,11.3239,53,870,30.458
389,264,0,1,13.8450,11.3078,53,865,38.204
390,264,0,0,13.8900,11.3278,52,852,21.020
391,264,0,0,13.9056,11.3478,52,856,21.891
392,264,0,0,13.9176,11.3678,52,874,21.009
393,264,0,0,13.9286,11.3878,52,878,29.583
394,264,1,1,13.9136,11.3318,52,878,29.005
395,264,0,0,13.9250,11.3518,52,890,44.003
396,264,0,0,13.9660,11.3718,52,896,25.006
397,264,0,0,13.9784,11.3918,52,896,26.202
398,264,0,0,13.9901,11.4118,52,896,26.934
399,264,0,0,14.0016,11.4318,52,900,31.417
400,265,1,0,13.9295,11.4086,52,910,25.245
401,265,0,0,13.9360,11.4286,52,924,33.991
402,264,0,1,14.0275,11.3974,52,933,21.485
403,264,0,0,14.0356,11.4174,52,920,22.990
404,264,0,0,14.0427,11.4374,52,918,19.554
405,264,0,0,14.0493,11.4574,52,918,28.597
406,264,0,0,14.0559,11.4774,52,922,20.440
407,265,1,0,13.9817,11.4540,53,920,32.150
408,265,0,0,14.0221,11.4740,53,910,22.655
409,265,0,0,14.0325,11.4940,53,908,21.739
410,265,0,0,14.0420,11.5140,53,912,23.779
411,265,0,0,14.0498,11.5340,53,906,18.940
412,265,0,0,14.0569,11.5540,53,900,24.664
413,265,0,0,14.0654,11.5740,53,900,34.582
414,265,0,0,14.1066,11.5940,53,904,19.721
415,265,0,0,14.1162,11.6140,53,910,27.065
416,265,0,0,14.1262,11.6340,53,918,18.984
417,265,0,0,14.1352,11.6540,53,932,24.105
418,266,1,0,14.0591,11.6301,53,938,21.675
419,267,1,0,13.9816,11.6064,53,952,35.269
420,267,0,0,14.0195,11.6264,53,968,26.242
421,267,0,0,14.0252,11.6464,53,964,23.494
422,267,0,0,14.0300,11.6664,53,964,27.214
423,267,0,0,14.0349,11.6864,53,960,24.751
424,267,0,0,14.0421,11.7064,53,954,23.031
425,266,0,1,14.1037,11.6934,53,952,33.776
426,266,3,3,14.0662,11.4668,54,941,21.687
427,266,0,0,14.0807,11.4868,54,946,25.599
428,266,0,0,14.0964,11.5068,54,944,22.932
429,266,0,0,14.1112,11.5268,54,940,22.544
430,268,2,0,13.9587,11.4607,54,942,21.581
431,266,0,2,14.0768,11.3989,54,941,42.786
432,266,0,0,14.1226,11.4189,54,918,22.593
433,266,0,0,14.1363,11.4389,54,918,22.205
434,266,0,0,14.1491,11.4589,53,916,24.370
435,267,1,0,14.0801,11.4359,53,920,30.950
436,268,1,0,14.0120,11.4132,53,942,31.956
437,268,0,0,14.0238,11.4332,53,958,36.028
438,268,0,0,14.0653,11.4532,53,944,19.481
439,268,1,1,14.0477,11.3883,54,937,32.191
440,268,0,0,14.0620,11.4083,54,932,20.181
441,268,0,0,14.0762,11.4283,54,936,20.425
442,268,0,0,14.0903,11.4483,54,938,18.812
443,268,0,0,14.1020,11.4683,54,936,36.207
444,268,0,0,14.1462,11.4883,54,928,21.636
445,268,0,0,14.1585,11.5083,54,930,29.014
446,268,0,0,14.1680,11.5283,54,932,29.949
447,268,1,1,14.1551,11.4629,54,932,21.640
448,268,0,0,14.1680,11.4829,53,930,31.094
449,268,1,1,14.1602,11.4004,53,923,33.999
450,268,0,0,14.2053,11.4204,53,924,22.415
451,268,0,0,14.2208,11.4404,53,926,22.158
452,270,2,0,14.0711,11.3755,53,936,21.477
453,270,0,0,14.0867,11.3955,54,960,27.231
454,272,2,0,13.9399,11.3316,55,964,19.167
455,272,1,1,13.9299,11.2775,55,969,34.546
456,272,0,0,13.9782,11.2975,55,972,21.110
457,272,0,0,13.9988,11.3175,55,966,26.390
458,272,0,0,14.0177,11.3375,55,960,19.729
459,272,0,0,14.0348,11.3575,55,960,19.026
460,272,0,0,14.0519,11.3775,55,960,18.443
461,272,0,0,14.0672,11.3975,55,964,33.978
462,272,0,0,14.1130,11.4175,55,970,19.462
463,272,0,0,14.1299,11.4375,55,974,19.104
464,272,0,0,14.1479,11.4575,55,968,20.776
465,272,0,0,14.1641,11.4775,55,970,19.689
466,272,0,0,14.1778,11.4975,55,972,18.348
467,273,1,0,14.1125,11.4753,56,970,34.436
468,273,0,0,14.1600,11.4953,56,978,18.992
469,274,1,0,14.0935,11.4733,56,978,26.528
470,274,1,1,14.0798,11.4199,56,978,17.987
471,274,0,0,14.0939,11.4399,56,992,17.554
472,274,0,0,14.1082,11.4599,56,988,17.847
473,274,0,0,14.1214,11.4799,56,978,44.544
474,274,0,0,14.1667,11.4999,56,972,18.612
475,274,0,0,14.1816,11.5199,56,974,25.139
476,274,0,0,14.1960,11.5399,56,968,21.653
477,274,0,0,14.2135,11.5599,57,964,18.722
478,272,1,3,14.2057,11.4478,56,950,17.192
479,272,0,0,14.2258,11.4678,56,938,35.517
480,272,0,0,14.2779,11.4878,56,938,20.812
481,272,0,0,14.3013,11.5078,56,936,25.340
482,272,0,0,14.3251,11.5278,56,940,27.043
483,273,1,0,14.2658,11.5055,56,928,18.370
484,273,0,0,14.2890,11.5255,56,936,19.253
485,273,0,0,14.3104,11.5455,56,934,38.321
486,273,0,0,14.3589,11.5655,55,940,18.884
487,273,0,0,14.3774,11.5855,55,934,19.056
488,274,1,0,14.3147,11.5632,55,934,20.786
489,274,0,0,14.3333,11.5832,55,940,26.466
490,274,0,0,14.3538,11.6032,55,938,29.174
491,275,1,0,14.2931,11.5809,54,940,36.163
492,275,0,0,14.3428,11.6009,54,948,28.100
493,275,0,0,14.3620,11.6209,54,950,18.784
494,275,0,0,14.3814,11.6409,54,956,25.858
495,276,1,0,14.3202,11.6187,54,950,29.326
496,276,0,0,14.3402,11.6387,54,978,18.078
497,276,0,0,14.3601,11.6587,54,984,43.359
498,276,0,0,14.4090,11.6787,54,980,20.756
499,276,0,0,14.4286,11.6987,54,982,18.083
500,276,0,0,14.4474,11.7187,54,978,17.249
501,277,1,0,14.3836,11.6963,53,978,19.440
502,277,0,0,14.4004,11.7163,53,982,22.314
503,277,0,0,14.4170,11.7363,53,988,43.750
504,277,0,0,14.4652,11.7563,53,986,17.739
505,277,0,0,14.4827,11.7763,53,994,16.246
506,277,0,0,14.4994,11.7963,53,998,16.301
507,277,0,0,14.5157,11.8163,53,1000,17.188
508,277,0,0,14.5340,11.8363,53,1004,19.437
509,277,0,0,14.5517,11.8563,53,1004,44.531
510,277,0,0,14.6029,11.8763,53,1010,27.095
511,277,0,0,14.6251,11.8963,53,1012,16.280
512,277,0,0,14.6468,11.9163,53,1012,26.907
513,277,0,0,14.6684,11.9363,54,1024,17.717
514,277,1,1,14.6605,11.8840,54,1030,17.306
515,277,0,0,14.6830,11.9040,54,1046,32.921
516,277,0,0,14.7359,11.9240,54,1048,18.259
517,277,1,1,14.7325,11.8716,54,1052,15.761
518,277,0,0,14.7580,11.8916,54,1054,17.525
519,277,0,0,14.7836,11.9116,55,1062,17.357
520,277,0,0,14.8089,11.9316,55,1056,18.623
521,277,0,0,14.8347,11.9516,55,1050,34.122
522,277,0,0,14.8894,11.9716,55,1058,17.881
523,277,0,0,14.9160,11.9916,56,1064,17.084
524,278,1,0,14.8585,11.9684,57,1070,22.202
525,278,0,0,14.8854,11.9884,57,1094,16.646
526,278,0,0,14.9090,12.0084,57,1100,15.726
527,278,0,0,14.9289,12.0284,57,1114,34.339
528,278,1,1,14.9519,11.9763,57,1113,17.033
529,279,1,0,14.8905,11.9533,57,1124,16.565
530,279,0,0,14.9099,11.9733,57,1136,16.457
531,279,1,1,14.9017,11.9215,57,1133,15.812
532,279,0,0,14.9204,11.9415,58,1132,17.228
533,279,0,0,14.9386,11.9615,58,1120,32.907
534,280,1,0,14.9085,11.9387,58,1130,16.431
